Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
1710000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1720000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1730000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1740000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1750000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1760000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1770000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1780000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1790000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1800000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1810000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1820000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1830000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1840000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1850000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1860000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1870000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1880000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1890000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1900000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1910000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1920000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1930000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1940000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1950000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
